methodology_id,section,factor,formula_id,metric_name,rule_type,score,score_label,min_value,max_value,min_inclusive,max_inclusive,direction,value_scale,secondary_formula_id,secondary_min_value,secondary_max_value,secondary_min_inclusive,secondary_max_inclusive,source_file,source_location,confidence,notes
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,1.0,,1.1,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,2.0,,0.95,1.1,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,3.0,,0.85,0.95,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,4.0,,0.75,0.85,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,5.0,,0.65,0.75,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,gdp_per_capita_ratio,Real GCP per capita as % of U.S. real GDP per capita,direct_numeric,6.0,,,0.65,,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,1.0,,1.0,,False,,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,2.0,,0.9,1.0,True,True,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,3.0,,0.8,0.9,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
sp_local_gov_k12,Individual Credit Profile Assessment,Economy,personal_income_ratio,County nominal PCPI as % of U.S. nominal PCPI,direct_numeric,4.0,,0.75,0.8,True,False,higher_is_stronger,decimal,,,,,,SP Local Government Scorecard Criteria 2024.pdf,Table 6 Economy: Initial assessment,high,
