source_name,aliases,source_type,access_method,structured,requires_upload,requires_api_key,default_confidence,preferred_for,notes
BEA,"BEA|bea|BureauEconomicAnalysis",API,bea_connector,true,false,true,0.95,"GDP;personal_income;regional_income","Use for raw economic data only. Do not import calculated ratios."
CensusACS,"CensusACS|Census|ACS|census_api",API,census_connector,true,false,true,0.95,"population;tax_base_population;service_area_population;poverty_rate;median_income;median_family_income","Use ACS raw fields for demographics and income."
CreditScope,"CreditScope|Credit Scope|creditscope_loader",Upload,creditscope_loader,true,true,false,0.88,"full_value;assessed_value;debt;cash;revenue;expense;pension","Use uploaded raw numeric fields only. Do not use CreditScope ratios or derived metrics."
IPEDS_Excel,"IPEDS|IPEDS_Excel|IPEDSEXCEL|ipeds_excel_loader",Upload,ipeds_excel_loader,true,true,false,0.88,"fte_enrollment;enrollment_current;enrollment_3yr_prior","IPEDS is treated as structured Excel upload, not API."
OS,"OS|OfficialStatement|Official Statement|document_extractor",Document,document_extractor,false,true,false,0.72,"mads;annual_utility_bill;debt_schedule","Use only when structured source is unavailable or for OS-specific bond fields."
DebtReport,"DebtReport|Debt Service Report|Bonded Indebtedness|Debt Schedule|IntOps",Document,document_extractor,false,true,false,0.80,"mads;debt_service;net_direct_debt;bonded_indebtedness","Use for standalone debt service, remaining debt service, and bonded indebtedness reports when an OS is not available."
ACFR,"ACFR|Audit|Audited Financial Statements|document_extractor",Document,document_extractor,false,true,false,0.75,"fund_balance_breakdown;transfers;net_assets;debt_service","Fallback for raw audited financial statement fields."
CountyAssessor,"CountyAssessor|County Assessor|Assessor",Document,document_extractor,false,true,false,0.82,"full_value;assessed_value","Fallback for tax base data when CreditScope is missing."
RateStudy,"RateStudy|Rate Study|Utility Rate Study",Document,document_extractor,false,true,false,0.78,"annual_utility_bill;rate_schedule","Fallback for utility affordability inputs."
MoodysWorkbook,"MoodysWorkbook|Moody's Workbook|MoodysReport|MoodysPensionWorkbook|Moodys Scorecard",Document,manual_or_document_extractor,false,true,false,0.80,"adjusted_npl;adjusted_opeb;trend_inputs","Use for Moody's adjusted pension/OPEB and source-specific trend inputs."
RatingReport,"RatingReport|RatingReports|Rating Report|AnalystInput|Analyst Input",Document,manual_or_document_extractor,false,true,false,0.60,"qualitative_context;management_assessment","Use for analyst context and qualitative scoring support."
AnnualReport,"AnnualReport|Annual Report|CAFR",Document,document_extractor,false,true,false,0.72,"enrollment;fte_enrollment","Fallback for enrollment if IPEDS Excel is missing."
Manual,"Manual|manual|UserInput|User Input",Manual,user_input,false,false,false,0.55,"manual_score;qualitative_assessment;missing_fields","Use only for qualitative scores, overrides, or unavailable raw data."
