formula_id,formula_name,expression,required_data,category

income_ratio,County EBI / US EBI,county_ebi/us_ebi,county_ebi;us_ebi,Economy

gdp_growth,County GDP Growth,(county_gdp_current-county_gdp_prior)/county_gdp_prior,county_gdp_current;county_gdp_prior,Economy

gdp_growth_relative_to_us,County GDP Growth Relative To U.S.,"((county_gdp_current-county_gdp_prior)/county_gdp_prior)-((us_gdp_current-us_gdp_prior)/us_gdp_prior)",county_gdp_current;county_gdp_prior;us_gdp_current;us_gdp_prior,Economy

gdp_per_capita,GDP Per Capita,county_gdp/population,county_gdp;population,Economy

gdp_per_capita_ratio,GDP Per Capita Ratio,(county_gdp/population)/(us_gdp/population_us),county_gdp;population;us_gdp;population_us,Economy

personal_income_per_capita,Personal Income Per Capita,personal_income/population,personal_income;population,Economy

personal_income_ratio,Personal Income Ratio,(personal_income/population)/(us_personal_income/population_us),personal_income;population;us_personal_income;population_us,Economy

resident_income_ratio,Resident Income Ratio,mhi_adjusted_rpp/us_median_income,mhi_adjusted_rpp;us_median_income,Economy

wealth_ratio,Wealth Ratio,issuer_mfi/us_mfi,issuer_mfi;us_mfi,Economy

population_growth,Population Growth,(population_current-population_prior)/population_prior,population_current;population_prior,Economy

assessed_value_growth,Assessed Value Growth,(assessed_value_current-assessed_value_prior)/assessed_value_prior,assessed_value_current;assessed_value_prior,Economy

service_area_population,Service Area Population,service_area_population,service_area_population,Economy

poverty_rate,Poverty Rate,poverty_rate,poverty_rate,Economy

utility_bill_affordability,Utility Bill Affordability,annual_utility_bill/median_household_ebi,annual_utility_bill;median_household_ebi,Economy

tax_base_size,Tax Base Size,full_value,full_value,TaxBase

full_value_per_capita,Full Value Per Capita,full_value/population,full_value;population,TaxBase

fte_enrollment,FTE Enrollment,fte_enrollment,fte_enrollment,Enrollment

enrollment_cagr,Enrollment CAGR 3Y,((enrollment_current/enrollment_3yr_prior)^(1/3))-1,enrollment_current;enrollment_3yr_prior,Enrollment

adjusted_operating_margin,Adjusted Operating Margin,(operating_revenue-operating_expense)/operating_revenue,operating_revenue;operating_expense,FinancialPerformance

gov_operating_margin_3yr_avg,Governmental Operating Margin 3Y Average,avg_3yr((governmental_revenue-governmental_expense+transfers)/governmental_revenue),governmental_revenue;governmental_expense;transfers,FinancialPerformance

coverage_ratio,All-In Coverage Ratio,(operating_revenue-operating_expense)/mads,operating_revenue;operating_expense;mads,FinancialPerformance

operating_history_ratio,Operating History Ratio,avg_5yr((operating_revenue-operating_expense)/operating_revenue),operating_revenue;operating_expense,FinancialPerformance

available_fund_balance_ratio,(Committed+Assigned+Unassigned)/Revenue,(committed_fund_balance+assigned_fund_balance+unassigned_fund_balance)/governmental_revenue,committed_fund_balance;assigned_fund_balance;unassigned_fund_balance;governmental_revenue,Liquidity

available_fund_balance_ratio_3yr_avg,Available Fund Balance Ratio 3Y Average,avg_3yr((committed_fund_balance+assigned_fund_balance+unassigned_fund_balance)/governmental_revenue),committed_fund_balance;assigned_fund_balance;unassigned_fund_balance;governmental_revenue,Liquidity

fund_balance_ratio,Fund Balance Ratio,fund_balance/revenue,fund_balance;revenue,Liquidity

